연번,자치구,신호등종류,위도,경도,주소
280,강남구,보행등,37.51230165,127.025078,강남구 논현동 26 공
281,강남구,보행등,37.51209481,127.025085,강남구 논현동 28-3 대
282,강남구,보행등,37.52663877,127.0455141,강남구 청담동 147 잡
283,강남구,보행등,37.51825478,127.0465903,강남구 청담동 77-52 도
284,강남구,보행등,37.52180655,127.0396744,강남구 청담동 77-26 도
285,강남구,보행등,37.52000839,127.0343102,강남구 논현동 279-23 도
286,강남구,보행등,37.49703848,127.0546855,강남구 대치동 925-1 대
287,강남구,보행등,37.496956,127.0545043,강남구 대치동 925-29 대
288,강남구,보행등,37.49699485,127.0548442,강남구 대치동 925-30 대
289,강남구,보행등,37.52477105,127.0397836,강남구 청담동 668-5 도
290,강남구,보행등,37.52003423,127.034695,강남구 논현동 279-23 도
291,강남구,보행등,37.49733611,127.0522525,강남구 역삼동 920-13 대
292,강남구,보행등,37.52171383,127.0340244,강남구 신사동 649-9 공
293,강남구,보행등,37.52007026,127.0496946,강남구 청담동 60 대
294,강남구,보행등,37.46958858,127.1202033,강남구 율현동 707-1제
295,강남구,보행등,37.46942596,127.120378,강남구 율현동 707-1제
296,강남구,보행등,37.48768767,127.0519051,강남구 도곡동 467-29 대
297,강남구,보행등,37.48768767,127.0519051,강남구 도곡동 467-29 대
298,강남구,보행등,37.51481327,127.0331943,강남구 논현동 71-2 대
299,강남구,보행등,37.51456312,127.0332239,강남구 논현동 71-2 대
300,강남구,보행등,37.51640725,127.0383731,강남구 논현동 104-29 대
301,강남구,보행등,37.51615024,127.0383782,강남구 논현동 109-19 대
302,강남구,보행등,37.51987514,127.0282407,강남구 신사동 668-18 도
303,강남구,보행등,37.51987514,127.0282407,강남구 신사동 668-18 도
304,강남구,보행등,37.50452805,127.0580097,강남구 대치동 1011 도
305,강남구,보행등,37.48688438,127.053724,강남구 도곡동 466-3 도
306,강남구,보행등,37.52361621,127.0284951,강남구 신사동 609 대
307,강남구,보행등,37.52362474,127.0281904,강남구 신사동 610-3 대
308,강남구,보행등,37.4955324,127.0326011,강남구 역삼동 858-13 도
309,강남구,보행등,37.52130757,127.0341107,강남구 논현동 649-9 공
310,강남구,보행등,37.52128019,127.0337695,강남구 논현동 649-9 공
311,강남구,보행등,37.5212568,127.0336942,강남구 논현동 649-9 공
312,강남구,보행등,37.52166101,127.0336187,강남구 신사동 649-9 공
313,강남구,보행등,37.51259311,127.0267269,강남구 논현동 280 도
314,강남구,보행등,37.51280443,127.026729,강남구 논현동 29-1 대
315,강남구,보행등,37.52494452,127.0243427,강남구 신사동 433 대
316,강남구,보행등,37.49202273,127.0643315,강남구 대치동 510 학
317,강남구,보행등,37.50281031,127.0424566,강남구 역삼동 691-24 대
318,강남구,보행등,37.50267195,127.0424752,강남구 역삼동 691-26 대
319,강남구,보행등,37.50149055,127.0650237,강남구 대치동 995 도
320,강남구,보행등,37.50129377,127.0650077,강남구 대치동 995 도
321,강남구,보행등,37.50133022,127.0649003,강남구 대치동 995 도
322,강남구,보행등,37.5084978,127.0559681,강남구 삼성동 172-35 도
323,강남구,보행등,37.50835951,127.0559885,강남구 삼성동 172-75 도
324,강남구,보행등,37.50818872,127.0556679,강남구 삼성동 172-75 도
325,강남구,보행등,37.5083699,127.0556194,강남구 삼성동 172-35 도
326,강남구,보행등,37.50853988,127.055864,강남구 삼성동 148-14 대
327,강남구,보행등,37.49225138,127.0580506,강남구 대치동 633 대
328,강남구,보행등,37.49199704,127.0582166,강남구 대치동 1027 대
329,강남구,보행등,37.52317685,127.0553488,강남구 청담동 340-2도
330,강남구,보행등,37.52827089,127.0393077,강남구 압구정동 497 공
331,강남구,보행등,37.52469559,127.050325,강남구 청담동 106-22 대
332,강남구,보행등,37.52434543,127.0502784,강남구 청담동 110-3 대
333,강남구,보행등,37.51430705,127.0597883,강남구 삼성동 89-6 대
334,강남구,보행등,37.51333678,127.0561623,강남구 삼성동 73 종
335,강남구,보행등,37.49797878,127.0384026,강남구 역삼동 718-12 대
336,강남구,보행등,37.53096347,127.0249924,강남구 압구정동 374-1천
337,강남구,보행등,37.53078092,127.024564,강남구 압구정동 435 도
338,강남구,보행등,37.49316644,127.0303493,강남구 역삼동 827-28 대
339,강남구,보행등,37.49299696,127.0303269,강남구 역삼동 827-17 대
340,강남구,보행등,37.49281188,127.030316,강남구 역삼동 827-19 대
341,강남구,보행등,37.49320753,127.0301006,강남구 역삼동 827-15 대
342,강남구,보행등,37.50013649,127.0645989,강남구 대치동 983-2 대
343,강남구,보행등,37.49991531,127.0646141,강남구 대치동 983-5 대
344,강남구,보행등,37.47816305,127.0447972,강남구 포이동 1279천
345,강남구,보행등,37.48687977,127.0830197,강남구 일원동 666-11 공
346,강남구,보행등,37.48659769,127.0830059,강남구 일원동 702-4 도
347,강남구,보행등,37.49114243,127.0554611,강남구 대치동 633-7 대
348,강남구,보행등,37.4910529,127.0552084,강남구 도곡동 670 대
349,강남구,보행등,37.48262097,127.0623409,강남구 개포동 155 학
350,강남구,보행등,37.52428861,127.0469785,강남구 청담동 116 대
351,강남구,보행등,37.4894282,127.0413955,강남구 도곡동 543-3 주
352,강남구,보행등,37.50899082,127.0628199,강남구 삼성동 167 대
353,강남구,보행등,37.50888409,127.0628543,강남구 삼성동 167 대
354,강남구,보행등,37.47855451,127.0459893,강남구 포이동 1279천
355,강남구,보행등,37.47843113,127.0461122,강남구 포이동 1279-2도
356,강남구,보행등,37.49597798,127.0394558,강남구 역삼동 725-48 대
357,강남구,보행등,37.49597092,127.0393523,강남구 역삼동 725-48 대
358,강남구,보행등,37.49579837,127.0389962,강남구 역삼동 725-58 대
359,강남구,보행등,37.49565573,127.0390762,강남구 역삼동 725-57 대
360,강남구,보행등,37.49566528,127.0391891,강남구 역삼동 725-56 대
361,강남구,보행등,37.50287153,127.0498998,강남구 대치동 142-36 대
362,강남구,보행등,37.50301502,127.0498921,강남구 대치동 889-45 대
363,강남구,보행등,37.50279674,127.0496236,강남구 역삼동 805-10 도
364,강남구,보행등,37.48128133,127.0540145,강남구 개포동 652 대
365,강남구,보행등,37.48913669,127.0817422,강남구 일원동 621 공
366,강남구,보행등,37.48915565,127.0815277,강남구 일원동 621 공
367,강남구,보행등,37.52890545,127.034011,강남구 신사동 480 공
368,강남구,보행등,37.5293049,127.0341677,강남구 압구정동 480 공
369,강남구,보행등,37.52942114,127.0336285,강남구 압구정동 476 도
370,강남구,보행등,37.51309913,127.0356217,강남구 논현동 279-132 도
371,강남구,보행등,37.49329558,127.0544482,강남구 대치동 1013-2 학
372,강남구,보행등,37.49328941,127.0541575,강남구 도곡동 888 대
373,강남구,보행등,37.51011658,127.066433,강남구  186-5천
374,강남구,보행등,37.50544572,127.0648816,강남구 대치동 996-16 대
375,강남구,보행등,37.50562545,127.0651842,강남구 대치동 996-15 대
376,강남구,보행등,37.50470095,127.0653261,강남구 대치동 1000-7 대
377,강남구,보행등,37.50475472,127.0651475,강남구 대치동 1000-12 대
378,강남구,보행등,37.50497344,127.0647785,강남구 대치동 1000-12 대
379,강남구,보행등,37.49800459,127.0586805,강남구 대치동 931-21 대
380,강남구,보행등,37.46452493,127.1078789,강남구 세곡동 113도
381,강남구,보행등,37.49665226,127.0700931,강남구 대치동 65대
382,강남구,보행등,37.496315,127.0702574,강남구 대치동 5-3도
383,강남구,보행등,37.48579348,127.0754381,강남구 개포동 688 대
384,강남구,보행등,37.48579348,127.0754381,강남구 개포동 688 대
385,강남구,보행등,37.52168406,127.0394956,강남구 논현동 279-5 도
386,강남구,보행등,37.50771114,127.0590262,강남구 삼성동 159-9 대
387,강남구,보행등,37.48652419,127.082743,강남구 일원동 702-4 도
388,강남구,보행등,37.48679208,127.0331828,강남구 도곡동 944-4 대
389,강남구,보행등,37.48682306,127.0329736,강남구 도곡동 942-9 대
390,강남구,보행등,37.48682306,127.0329736,강남구 도곡동 942-9 대
