주소,위도,경도,CCTV 수량,설치목적
서울특별시 광진구 천호대로134길 31 (구의동),37.54754,127.07398,1,생활방범
서울특별시 광진구 천호대로134길 55 (구의동),37.53646,127.08386,1,생활방범
서울특별시 광진구 긴고랑로12길 12 (중곡동),37.55707,127.08732,1,생활방범
서울특별시 광진구 긴고랑로14길 33 (중곡동),37.56675,127.07985,1,생활방범
서울특별시 광진구 긴고랑로14길 63 (중곡동),37.5661,127.08194,1,생활방범
서울특별시 광진구 긴고랑로14길 8 (중곡동),37.56598,127.08306,1,생활방범
서울특별시 광진구 긴고랑로15길 15 (중곡동),37.5657,127.08243,1,생활방범
서울특별시 광진구 긴고랑로16길 50 (중곡동),37.56663,127.08544,1,생활방범
서울특별시 광진구 긴고랑로16길 9-9 (중곡동),37.55947,127.09138,1,생활방범
서울특별시 광진구 긴고랑로17길11 (중곡동),37.55894,127.09439,1,생활방범
서울특별시 광진구 긴고랑로19길 34-4 (중곡동),37.57043,127.08789,1,생활방범
서울특별시 광진구 긴고랑로1길 11 (중곡동),37.57083,127.08751,1,생활방범
서울특별시 광진구 긴고랑로20길 28,37.56191,127.09557,1,생활방범
서울특별시 광진구 긴고랑로26길 7-1 (중곡동),37.56105,127.09503,1,생활방범
서울특별시 광진구 긴고랑로26길23,37.55872,127.09341,1,생활방범
서울특별시 광진구 긴고랑로27길 26 (중곡동),37.5588,127.09411,1,생활방범
서울특별시 광진구 긴고랑로29길 47 (중곡동),37.54255,127.06936,1,생활방범
서울특별시 광진구 긴고랑로30길34,37.5488,127.09141,1,생활방범
서울특별시 광진구 긴고랑로31길 28 (중곡동),37.5472,127.08953,1,생활방범
서울특별시 광진구 긴고랑로38,37.53694,127.07895,1,생활방범
서울특별시 광진구 긴고랑로38길 14 (중곡동),37.55753,127.0856,1,생활방범
서울특별시 광진구 긴고랑로3길 19-2 (중곡동),37.56702,127.07893,1,생활방범
서울특별시 광진구 긴고랑로42길 3-15,37.54107,127.10331,1,생활방범
서울특별시 광진구 긴고랑로42길 3-28,37.5413,127.08876,1,생활방범
서울특별시 광진구 긴고랑로42길 3-8,37.54359,127.08269,1,생활방범
서울특별시 광진구 긴고랑로44길 42 (중곡동),37.54236,127.09359,1,생활방범
서울특별시 광진구 긴고랑로46가길 36 (중곡동),37.55414,127.08213,1,생활방범
서울특별시 광진구 긴고랑로46길 11,37.53361,127.08279,1,생활방범
서울특별시 광진구 긴고랑로46길 11 (화양동),37.5316,127.07933,1,생활방범
서울특별시 광진구 긴고랑로47길 19,37.53219,127.07011,1,생활방범
서울특별시 광진구 긴고랑로49길 27,37.55751,127.08105,1,생활방범
서울특별시 광진구 긴고랑로5길 10 (중곡동),37.54918,127.08834,1,생활방범
서울특별시 광진구 긴고랑로5길 10 (중곡동),37.53922,127.09526,1,생활방범
서울특별시 광진구 긴고랑로5길 11 (중곡동),37.5525,127.08601,1,생활방범
서울특별시 광진구 긴고랑로6길 9 (중곡동),37.52987,127.07849,1,생활방범
서울특별시 광진구 긴고랑로7길 101,37.5309,127.08266,1,생활방범
